指标名,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
全社会固定资产投资,,17537.05,16048.1,14353.24,12285.42,10435.24,8736.2,7473.38,6688.91,5214.28
房地产开发投资,4248.76,3980.08,3725.95,3751.28,3630.23,3012.78,2508.35,2015.09,1620.26,1238.91
