指标,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
商品住宅房屋施工面积,,,17932.69,19390.32,20294.49,19248.95,16997.85,15923.84,13744.8,10338.12
商品住宅房屋竣工面积,,,3084,3185.9,2771.55,2867.45,3386.35,2826.78,2179.8,2384.51
住宅商品房销售面积,5424.76,5452.65,5105.46,4477.71,4423.68,4359.19,4105.11,4063.42,3986.31,3771.22
