指标,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
国内生产总值指数,106.6,106.8,106.7,106.9,107.3,107.8,107.9,109.6,110.6,109.4
地区生产总值指数,106,109.3,110.7,111,110.9,112.3,113.6,116.4,117.1,114.9
